	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	f1_macro	fraction	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
44	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.7266137803198732	0.05	0.9477673422310101	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	16.0	0.5054602184087363	0.48214285714285715	0.5311475409836065	AE_10_tiny	44.0	1.0	2.2047323200386018
45	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.7680098009654444	0.05	0.9556763882023397	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	16.0	0.5803432137285491	0.5535714285714286	0.6098360655737705	AE_30_tiny	44.0	1.0	4.040844451985322
46	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9008220338699855	0.05	0.9810512440270226	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	32.0	0.8205928237129485	0.7827380952380952	0.8622950819672132	AE_10_tiny	44.0	1.0	2.2169871869846247
47	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.902546868063551	0.05	0.9813807876091613	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	32.0	0.8237129485179407	0.7857142857142857	0.8655737704918033	AE_30_tiny	44.0	1.0	4.336336158972699
48	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8594260132244143	0.05	0.9731421980556928	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	8.0	0.7457098283931357	0.7113095238095238	0.7836065573770492	AE_10_tiny	44.0	1.0	4.544228285027202
49	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8611508474179796	0.05	0.9734717416378316	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	8.0	0.7488299531981278	0.7142857142857143	0.7868852459016393	AE_30_tiny	44.0	1.0	5.078898927022237
50	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8456273396758905	0.05	0.970505849398583	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	16.0	0.7207488299531981	0.6875	0.7573770491803279	AE_10_tiny	44.0	1.0	2.8090994950034656
51	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8490770080630214	0.05	0.9711649365628603	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	16.0	0.7269890795631826	0.6934523809523809	0.7639344262295082	AE_30_tiny	44.0	1.0	4.67506705300184
52	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8714998525793727	0.05	0.9754490031306642	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	32.0	0.7675507020280811	0.7321428571428571	0.8065573770491803	AE_10_tiny	44.0	1.0	2.68182756297756
53	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8749495209665035	0.05	0.9761080902949415	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	32.0	0.7737909516380655	0.7380952380952381	0.8131147540983606	AE_30_tiny	44.0	1.0	4.851027648022864
