	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
65	3.0	1.0	0.1	0.15	0.5766482036090678	3|0.3|cosine|45	0.0	0.9191652937946184	45.0	0.3	3.0	0.2341311134235172	0.2234359483614697	0.2459016393442623	42.0	12.540287182000611	cosine	0.0
66	3.0	1.0	0.1	0.15	0.6658051715990059	3|0.3|cosine|15	0.0	0.9361889071938495	15.0	0.3	3.0	0.39542143600416235	0.37735849056603776	0.41530054644808745	42.0	12.346010557001136	cosine	0.0
67	3.0	1.0	0.1	0.15	0.5421358289032853	200|0.3|cosine|45	0.0	0.912575507962658	45.0	0.3	200.0	0.17169614984391263	0.16385302879841113	0.18032786885245902	42.0	68.88591386999906	cosine	0.0
68	3.0	1.0	0.1	0.15	0.5012961855014426	200|0.3|cosine|90	0.0	0.9047775947281713	90.0	0.3	200.0	0.09781477627471384	0.09334657398212512	0.10273224043715846	42.0	72.61784183800046	cosine	0.0
69	3.0	1.0	0.1	0.15	0.5260300540405867	15|0.3|cosine|90	0.0	0.9095002745744096	90.0	0.3	15.0	0.14255983350676377	0.13604766633565044	0.14972677595628414	42.0	16.661656683001638	cosine	0.0
70	3.0	1.0	0.1	0.15	0.708945639981234	45|0.3|cosine|15	0.0	0.9444261394838	15.0	0.3	45.0	0.47346514047866806	0.45183714001986097	0.4972677595628415	42.0	20.694089814998733	cosine	0.0
71	4.0	6.5991564568044e-05	0.1	0.15	0.5312069102464541	45|0.0|cosine|90	0.0001476833584666896	0.9104887424492037	90.0	0.0	45.0	0.15192507804370448	0.14498510427010924	0.15956284153005465	43.0	75.61595441100144	cosine	9.122133517086525e-05
72	4.0	0.0008068487037980579	0.1	0.15	0.5990812471678264	15|0.0|cosine|90	0.0014468544212881667	0.9234486545853926	90.0	0.0	15.0	0.27471383975026015	0.26216484607745777	0.28852459016393445	42.0	48.661714548998134	cosine	0.0010359772779355604
73	4.0	0.0024486547516396457	0.1	0.15	0.5225788165700085	200|0.0|cosine|90	0.004609731253347078	0.9088412959912135	90.0	0.0	200.0	0.1363163371488033	0.1300893743793446	0.1431693989071038	42.0	161.75850164799704	cosine	0.0031983630051729745
74	4.0	0.00503173342452801	0.1	0.15	0.5381093851876106	45|0.0|cosine|90	0.008063519022463628	0.9118066996155958	90.0	0.0	45.0	0.16441207075962538	0.15690168818272096	0.1726775956284153	42.0	64.49762849000035	cosine	0.006196669876947438
75	5.0	0.00541757721794173	0.1	0.15	0.545011860128767	45|0.0|cosine|90	0.009285597092449367	0.9131246567819878	90.0	0.0	45.0	0.1768990634755463	0.16881827209533268	0.18579234972677597	44.0	62.89558018900061	cosine	0.00684279982010246
76	4.0	0.017297603917234828	0.1	0.15	0.5237292290602013	200|0.0|cosine|90	0.038996750377455626	0.9090609555189456	90.0	0.0	200.0	0.13839750260145683	0.1320754716981132	0.1453551912568306	43.0	164.70570242900067	cosine	0.023965115171491615
77	5.0	0.0193846610266441	0.1	0.15	0.5122251041582737	200|0.0|cosine|90	0.06724992730131618	0.9068643602416254	90.0	0.0	200.0	0.11758584807492196	0.11221449851042702	0.12349726775956284	44.0	160.91517566499897	cosine	0.030094609323185206
78	4.0	0.04572986609081442	0.1	0.15	0.5731969661384895	15|0.0|cosine|90	0.1040541434635573	0.9185063152114223	90.0	0.0	15.0	0.2278876170655567	0.21747765640516387	0.23934426229508196	43.0	49.77646880199973	cosine	0.06353658258901891
79	4.0	0.05085988075137696	0.1	0.15	0.5128003104033702	3|0.4|cosine|90	0.1129927084683978	0.9069741900054916	90.0	0.4	3.0	0.1186264308012487	0.11320754716981132	0.12459016393442623	44.0	13.591055747998325	cosine	0.0701459245269498
80	7.0	0.04195452804934805	0.1	0.15	0.5381093851876106	45|0.0|cosine|45	0.11858407982528735	0.9118066996155958	45.0	0.0	45.0	0.16441207075962538	0.15690168818272096	0.1726775956284153	42.0	63.67830080100248	cosine	0.06198059356689118
81	4.0	0.054776458925570294	0.1	0.15	0.4828895856583586	3|0.3|cosine|90	0.11870731251215633	0.9012630422844592	90.0	0.3	3.0	0.06451612903225806	0.06156901688182721	0.06775956284153005	42.0	12.78558231200077	cosine	0.07496224199069876
82	4.0	0.05440260225530332	0.1	0.15	0.46908463577604553	3|0.15|cosine|90	0.12061863595618681	0.8986271279516749	90.0	0.15	3.0	0.03954214360041623	0.03773584905660377	0.041530054644808745	42.0	10.953300256998773	cosine	0.07498481605497939
